Profile,Variant,State,Query,n,Execution median ms,95% CI ms,p95 ms,Access,Lossy heap blocks (max),Planning median ms,Plan+execution median ms
dirty_memory,btree,64kB,dense,10,8.171,8.002–8.397,8.734,"Bitmap Heap Scan, Bitmap Index Scan",2062,0.029,8.199
dirty_memory,btree,64kB,group,10,16.748,16.275–17.703,18.342,Index Only Scan,0,0.030,16.780
dirty_memory,gin,4MB,dense,10,11.954,11.867–13.844,15.558,"Bitmap Heap Scan, Bitmap Index Scan",0,0.031,11.985
dirty_memory,gin,4MB,group,10,12.796,12.506–13.430,14.407,Seq Scan,0,0.026,12.835
dirty_memory,gin,64MB,dense,10,12.350,12.045–12.829,13.327,"Bitmap Heap Scan, Bitmap Index Scan",0,0.032,12.391
dirty_memory,gin,64MB,group,10,12.585,12.285–13.132,14.268,Seq Scan,0,0.026,12.609
dirty_memory,gin,64kB,dense,10,15.425,14.997–15.998,17.458,"Bitmap Heap Scan, Bitmap Index Scan",2064,0.033,15.459
dirty_memory,gin,64kB,group,10,12.845,12.675–13.085,13.666,Seq Scan,0,0.027,12.877
dirty_memory,gist,4MB,dense,10,8.797,8.747–9.940,11.886,"Bitmap Heap Scan, Bitmap Index Scan",0,0.030,8.827
dirty_memory,gist,4MB,group,10,20.312,19.827–21.007,22.388,"Bitmap Heap Scan, Bitmap Index Scan",0,0.029,20.342
dirty_memory,gist,64MB,dense,10,8.948,8.891–9.046,9.257,"Bitmap Heap Scan, Bitmap Index Scan",0,0.029,8.978
dirty_memory,gist,64MB,group,10,20.323,19.534–21.286,24.366,"Bitmap Heap Scan, Bitmap Index Scan",0,0.029,20.352
dirty_memory,gist,64kB,dense,10,11.441,11.309–11.835,13.330,"Bitmap Heap Scan, Bitmap Index Scan",2070,0.031,11.474
dirty_memory,gist,64kB,group,10,19.050,18.492–19.444,19.721,"Bitmap Heap Scan, Bitmap Index Scan",2070,0.029,19.081
dirty_memory,hash,4MB,dense,10,8.380,8.312–8.575,8.585,"Bitmap Heap Scan, Bitmap Index Scan",0,0.027,8.408
dirty_memory,hash,4MB,group,10,12.241,12.171–12.639,12.752,Seq Scan,0,0.024,12.275
dirty_memory,hash,64MB,dense,10,8.543,8.466–8.616,8.711,"Bitmap Heap Scan, Bitmap Index Scan",0,0.028,8.576
dirty_memory,hash,64MB,group,10,12.652,12.346–13.110,13.402,Seq Scan,0,0.026,12.683
dirty_memory,hash,64kB,dense,10,8.972,8.922–9.113,13.202,"Bitmap Heap Scan, Bitmap Index Scan",2063,0.027,9.000
dirty_memory,hash,64kB,group,10,12.270,12.187–12.583,13.332,Seq Scan,0,0.026,12.312
dirty_memory,roaring,4MB,dense,10,5.829,5.770–5.853,5.873,"Bitmap Heap Scan, Bitmap Index Scan",0,0.033,5.862
dirty_memory,roaring,4MB,group,10,5.456,5.383–5.522,5.587,RoaringCount,0,0.029,5.486
dirty_memory,roaring,64MB,dense,10,5.928,5.866–5.968,6.402,"Bitmap Heap Scan, Bitmap Index Scan",0,0.033,5.960
dirty_memory,roaring,64MB,group,10,5.441,5.383–5.972,6.564,RoaringCount,0,0.029,5.470
dirty_memory,roaring,64kB,dense,10,7.226,7.171–7.309,7.846,"Bitmap Heap Scan, Bitmap Index Scan",2062,0.033,7.259
dirty_memory,roaring,64kB,group,10,5.391,5.367–5.505,5.572,RoaringCount,0,0.029,5.419
dirty_memory,roaring_bitmap,4MB,dense,10,5.774,5.718–5.853,6.072,"Bitmap Heap Scan, Bitmap Index Scan",0,0.028,5.803
dirty_memory,roaring_bitmap,4MB,group,10,12.421,12.265–13.386,14.410,Seq Scan,0,0.026,12.446
dirty_memory,roaring_bitmap,64MB,dense,10,5.850,5.831–6.020,7.457,"Bitmap Heap Scan, Bitmap Index Scan",0,0.028,5.879
dirty_memory,roaring_bitmap,64MB,group,10,12.467,12.366–12.752,16.303,Seq Scan,0,0.026,12.492
dirty_memory,roaring_bitmap,64kB,dense,10,7.131,7.079–7.228,7.244,"Bitmap Heap Scan, Bitmap Index Scan",2062,0.029,7.160
dirty_memory,roaring_bitmap,64kB,group,10,12.397,12.349–12.578,13.265,Seq Scan,0,0.025,12.422
dirty_memory,roaring_sql,4MB,dense,10,2.696,2.663–3.087,4.087,direct SQL count,0,0.007,2.703
dirty_memory,roaring_sql,4MB,group,10,5.428,5.347–5.491,7.684,direct SQL count,0,0.025,5.454
dirty_memory,roaring_sql,64MB,dense,10,2.696,2.654–2.738,2.762,direct SQL count,0,0.007,2.703
dirty_memory,roaring_sql,64MB,group,10,5.425,5.386–5.567,5.725,direct SQL count,0,0.023,5.451
dirty_memory,roaring_sql,64kB,dense,10,2.704,2.687–2.853,2.986,direct SQL count,0,0.007,2.711
dirty_memory,roaring_sql,64kB,group,10,5.409,5.359–5.431,5.602,direct SQL count,0,0.023,5.434
dirty_memory,seq,4MB,dense,10,5.998,5.841–6.505,7.107,Seq Scan,0,0.021,6.021
dirty_memory,seq,4MB,group,10,12.807,12.568–13.523,15.455,Seq Scan,0,0.022,12.830
dirty_memory,seq,64MB,dense,10,5.813,5.751–5.996,6.281,Seq Scan,0,0.021,5.835
dirty_memory,seq,64MB,group,10,12.550,12.097–13.376,14.570,Seq Scan,0,0.022,12.572
dirty_memory,seq,64kB,dense,10,5.813,5.776–5.976,6.468,Seq Scan,0,0.021,5.835
dirty_memory,seq,64kB,group,10,12.781,12.176–13.259,14.868,Seq Scan,0,0.022,12.803
growth,brin,bulk_then_index,dense,10,5.089,5.053–5.108,5.139,Seq Scan,0,0.030,5.115
growth,brin,bulk_then_index,in_100,10,9.221,9.145–9.913,11.029,"Bitmap Heap Scan, Bitmap Index Scan",1471,0.097,9.317
growth,brin,bulk_then_index,point,10,0.149,0.145–0.176,0.212,"Bitmap Heap Scan, Bitmap Index Scan",32,0.030,0.181
growth,brin,index_then_insert,dense,10,4.960,4.922–5.015,5.083,Seq Scan,0,0.027,4.989
growth,brin,index_then_insert,in_100,10,9.181,9.136–9.380,9.754,"Bitmap Heap Scan, Bitmap Index Scan",1471,0.097,9.279
growth,brin,index_then_insert,point,10,0.260,0.256–0.265,0.324,"Bitmap Heap Scan, Bitmap Index Scan",63,0.032,0.292
growth,btree,bulk_then_index,dense,10,2.995,2.918–3.061,3.657,Index Only Scan,0,0.026,3.023
growth,btree,bulk_then_index,in_100,10,0.107,0.105–0.148,0.157,Index Only Scan,0,0.095,0.205
growth,btree,bulk_then_index,point,10,0.016,0.015–0.017,0.036,Index Only Scan,0,0.031,0.047
growth,btree,index_then_insert,dense,10,2.917,2.897–2.960,3.111,Index Only Scan,0,0.026,2.944
growth,btree,index_then_insert,in_100,10,0.116,0.111–0.121,0.130,Index Only Scan,0,0.095,0.214
growth,btree,index_then_insert,point,10,0.015,0.015–0.015,0.017,Index Only Scan,0,0.028,0.043
growth,gin,bulk_then_index,dense,10,7.287,7.141–7.559,8.018,"Bitmap Heap Scan, Bitmap Index Scan",0,0.031,7.319
growth,gin,bulk_then_index,in_100,10,0.175,0.173–0.199,0.214,"Bitmap Heap Scan, Bitmap Index Scan",0,0.115,0.298
growth,gin,bulk_then_index,point,10,0.019,0.019–0.021,0.024,"Bitmap Heap Scan, Bitmap Index Scan",0,0.033,0.052
growth,gin,index_then_insert,dense,10,7.021,6.910–7.068,8.370,"Bitmap Heap Scan, Bitmap Index Scan",0,0.028,7.050
growth,gin,index_then_insert,in_100,10,0.179,0.170–0.204,0.217,"Bitmap Heap Scan, Bitmap Index Scan",0,0.113,0.299
growth,gin,index_then_insert,point,10,0.019,0.018–0.021,0.023,"Bitmap Heap Scan, Bitmap Index Scan",0,0.031,0.051
growth,gist,bulk_then_index,dense,10,6.829,6.693–7.747,9.470,Index Only Scan,0,0.029,6.862
growth,gist,bulk_then_index,in_100,10,1.165,1.154–1.188,1.650,"Bitmap Heap Scan, Bitmap Index Scan",0,0.101,1.265
growth,gist,bulk_then_index,point,10,0.026,0.026–0.028,0.032,Index Only Scan,0,0.030,0.056
growth,gist,index_then_insert,dense,10,7.056,6.824–8.619,9.134,Index Only Scan,0,0.029,7.110
growth,gist,index_then_insert,in_100,10,0.861,0.836–0.965,1.070,"Bitmap Heap Scan, Bitmap Index Scan",0,0.098,0.957
growth,gist,index_then_insert,point,10,0.024,0.023–0.028,0.034,Index Only Scan,0,0.031,0.055
growth,hash,bulk_then_index,dense,10,5.104,5.071–5.178,5.181,Seq Scan,0,0.027,5.131
growth,hash,bulk_then_index,in_100,10,0.117,0.116–0.126,0.138,"Bitmap Heap Scan, Bitmap Index Scan",0,0.095,0.212
growth,hash,bulk_then_index,point,10,0.014,0.014–0.014,0.015,Index Scan,0,0.028,0.042
growth,hash,index_then_insert,dense,10,4.941,4.930–5.019,5.137,Seq Scan,0,0.026,4.966
growth,hash,index_then_insert,in_100,10,0.128,0.120–0.131,0.137,"Bitmap Heap Scan, Bitmap Index Scan",0,0.095,0.224
growth,hash,index_then_insert,point,10,0.014,0.014–0.015,0.016,Index Scan,0,0.027,0.041
growth,roaring,bulk_then_index,dense,10,0.026,0.025–0.026,0.034,RoaringCount,0,0.032,0.058
growth,roaring,bulk_then_index,in_100,10,0.104,0.099–0.110,0.110,RoaringCount,0,0.122,0.226
growth,roaring,bulk_then_index,point,10,0.009,0.009–0.010,0.010,RoaringCount,0,0.030,0.039
growth,roaring,index_then_insert,dense,10,0.027,0.026–0.028,0.031,RoaringCount,0,0.029,0.056
growth,roaring,index_then_insert,in_100,10,0.321,0.306–0.346,0.390,RoaringCount,0,0.120,0.448
growth,roaring,index_then_insert,point,10,0.012,0.011–0.013,0.013,RoaringCount,0,0.030,0.043
growth,roaring_bitmap,bulk_then_index,dense,10,4.960,4.921–5.051,5.167,Seq Scan,0,0.028,4.986
growth,roaring_bitmap,bulk_then_index,in_100,10,0.112,0.109–0.117,0.134,"Bitmap Heap Scan, Bitmap Index Scan",0,0.095,0.209
growth,roaring_bitmap,bulk_then_index,point,10,0.018,0.017–0.019,0.021,"Bitmap Heap Scan, Bitmap Index Scan",0,0.029,0.046
growth,roaring_bitmap,index_then_insert,dense,10,4.952,4.915–5.135,5.501,Seq Scan,0,0.026,4.978
growth,roaring_bitmap,index_then_insert,in_100,10,0.328,0.313–0.344,0.354,"Bitmap Heap Scan, Bitmap Index Scan",0,0.095,0.431
growth,roaring_bitmap,index_then_insert,point,10,0.021,0.019–0.022,0.025,"Bitmap Heap Scan, Bitmap Index Scan",0,0.029,0.049
growth,seq,bulk_then_index,dense,10,5.021,4.831–5.237,6.244,Seq Scan,0,0.021,5.042
growth,seq,bulk_then_index,in_100,10,5.858,5.694–5.929,5.989,Seq Scan,0,0.088,5.952
growth,seq,bulk_then_index,point,10,3.294,3.239–3.344,3.518,Seq Scan,0,0.022,3.317
growth,seq,index_then_insert,dense,10,4.886,4.857–4.908,4.979,Seq Scan,0,0.021,4.909
growth,seq,index_then_insert,in_100,10,5.724,5.675–5.887,6.218,Seq Scan,0,0.087,5.815
growth,seq,index_then_insert,point,10,3.284,3.230–3.377,3.390,Seq Scan,0,0.022,3.306
prepared,brin,force_custom_plan,dense,10,4.935,4.878–5.919,7.854,Seq Scan,0,0.036,4.972
prepared,brin,force_custom_plan,point,10,0.145,0.144–0.147,0.158,"Bitmap Heap Scan, Bitmap Index Scan",32,0.038,0.185
prepared,brin,force_generic_plan,dense,10,5.536,5.457–5.569,5.616,Seq Scan,0,0.004,5.540
prepared,brin,force_generic_plan,point,10,0.163,0.154–0.171,0.189,"Bitmap Heap Scan, Bitmap Index Scan",32,0.008,0.171
prepared,btree,force_custom_plan,dense,10,3.010,2.982–3.040,3.099,Index Only Scan,0,0.034,3.059
prepared,btree,force_custom_plan,point,10,0.015,0.015–0.032,0.049,Index Only Scan,0,0.037,0.054
prepared,btree,force_generic_plan,dense,10,2.913,2.901–2.929,3.153,Index Only Scan,0,0.004,2.917
prepared,btree,force_generic_plan,point,10,0.016,0.016–0.018,0.019,Index Only Scan,0,0.007,0.023
prepared,gin,force_custom_plan,dense,10,7.101,6.808–7.948,8.275,"Bitmap Heap Scan, Bitmap Index Scan",0,0.037,7.136
prepared,gin,force_custom_plan,point,10,0.019,0.018–0.021,0.021,"Bitmap Heap Scan, Bitmap Index Scan",0,0.042,0.062
prepared,gin,force_generic_plan,dense,10,7.246,7.083–7.804,8.540,"Bitmap Heap Scan, Bitmap Index Scan",0,0.004,7.250
prepared,gin,force_generic_plan,point,10,0.022,0.022–0.024,0.024,"Bitmap Heap Scan, Bitmap Index Scan",0,0.007,0.030
prepared,gist,force_custom_plan,dense,10,6.909,6.623–6.971,7.478,Index Only Scan,0,0.037,6.944
prepared,gist,force_custom_plan,point,10,0.026,0.025–0.027,0.028,Index Only Scan,0,0.040,0.066
prepared,gist,force_generic_plan,dense,10,6.765,6.682–7.536,8.408,Index Only Scan,0,0.004,6.769
prepared,gist,force_generic_plan,point,10,0.028,0.027–0.029,0.049,Index Only Scan,0,0.008,0.036
prepared,hash,force_custom_plan,dense,10,5.130,5.054–5.206,5.226,Seq Scan,0,0.033,5.163
prepared,hash,force_custom_plan,point,10,0.015,0.014–0.015,0.017,Index Scan,0,0.039,0.054
prepared,hash,force_generic_plan,dense,10,5.524,5.466–5.838,7.022,Seq Scan,0,0.005,5.529
prepared,hash,force_generic_plan,point,10,0.018,0.016–0.018,0.018,Index Scan,0,0.008,0.026
prepared,roaring,force_custom_plan,dense,10,0.025,0.023–0.026,0.028,RoaringCount,0,0.038,0.064
prepared,roaring,force_custom_plan,point,10,0.009,0.009–0.011,0.016,RoaringCount,0,0.038,0.049
prepared,roaring,force_generic_plan,dense,10,5.598,5.509–5.783,5.845,Seq Scan,0,0.004,5.602
prepared,roaring,force_generic_plan,point,10,0.019,0.018–0.021,0.023,"Bitmap Heap Scan, Bitmap Index Scan",0,0.007,0.026
prepared,seq,force_custom_plan,dense,10,5.075,4.951–5.242,5.573,Seq Scan,0,0.030,5.123
prepared,seq,force_custom_plan,point,10,3.359,3.220–3.515,3.619,Seq Scan,0,0.032,3.409
prepared,seq,force_generic_plan,dense,10,5.648,5.495–5.724,5.854,Seq Scan,0,0.005,5.653
prepared,seq,force_generic_plan,point,10,3.579,3.527–3.768,3.860,Seq Scan,0,0.007,3.587
